# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.update.unloaded.entities.ms,1698132382796000000,1698132442823000000,0
workspaceModel.updates.count,1698132382796000000,1698132442823000000,3
workspaceModel.replace.project.model.ms,1698132382796000000,1698132442823000000,0
workspaceModel.collect.changes.ms,1698132382796000000,1698132442823000000,0
workspaceModel.loading.from.cache.ms,1698132382796000000,1698132442823000000,196
workspaceModel.updates.precise.ms,1698132382796000000,1698132442823000000,103
workspaceModel.init.bridges.ms,1698132382796000000,1698132442823000000,2
workspaceModel.loading.total.ms,1698132382796000000,1698132442823000000,216
workspaceModel.initializing.ms,1698132382796000000,1698132442823000000,2
workspaceModel.check.recursive.update.ms,1698132382796000000,1698132442823000000,2
workspaceModel.pre.handlers.ms,1698132382796000000,1698132442823000000,2
workspaceModel.updates.ms,1698132382796000000,1698132442823000000,204
workspaceModel.to.snapshot.ms,1698132382796000000,1698132442823000000,4
jps.global.get.libraries.ms,1698132382796000000,1698132442823000000,2
jps.facet.change.listener.before.change.events.ms,1698132382796000000,1698132442823000000,0
workspaceModel.moduleBridge.before.changed.ms,1698132382796000000,1698132442823000000,0
workspaceModel.global.apply.state.to.project.ms,1698132382796000000,1698132442823000000,84
workspaceModel.moduleManagerBridge.get.modules.ms,1698132382796000000,1698132442823000000,4
jps.library.entities.serializer.save.entities.ms,1698132382796000000,1698132442823000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1698132382796000000,1698132442823000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1698132382796000000,1698132442823000000,0
workspaceModel.global.updates.count,1698132382796000000,1698132442823000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1698132382796000000,1698132442823000000,0
workspaceModel.load.cache.from.file.ms,1698132382796000000,1698132442823000000,182
workspaceModel.moduleManagerBridge.load.all.modules.ms,1698132382796000000,1698132442823000000,101
workspaceModel.mutableEntityStorage.replace.by.source.ms,1698132382796000000,1698132442823000000,74
workspaceModel.mutableEntityStorage.remove.entity.ms,1698132382796000000,1698132442823000000,0
jps.global.handle.before.change.events.ms,1698132382796000000,1698132442823000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1698132382796000000,1698132442823000000,5
jps.facet.change.listener.process.change.events.ms,1698132382796000000,1698132442823000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1698132382796000000,1698132442823000000,0
jps.artifact.entities.serializer.load.entities.ms,1698132382796000000,1698132442823000000,0
jps.load.initial.state.ms,1698132382796000000,1698132442823000000,15
workspaceModel.sync.entities.ms,1698132382796000000,1698132442823000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1698132382796000000,1698132442823000000,75
workspaceModel.mutableEntityStorage.has.same.entities.ms,1698132382796000000,1698132442823000000,0
jps.global.initialize.library.bridges.ms,1698132382796000000,1698132442823000000,0
jps.save.changed.project.entities.ms,1698132382796000000,1698132442823000000,0
jps.save.global.entities.ms,1698132382796000000,1698132442823000000,0
workspaceModel.orphan.listener.update.ms,1698132382796000000,1698132442823000000,20
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1698132382796000000,1698132442823000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1698132382796000000,1698132442823000000,0
jps.global.initialize.library.bridges.after.loading.ms,1698132382796000000,1698132442823000000,0
jps.facet.change.listener.init.bridge.ms,1698132382796000000,1698132442823000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1698132382796000000,1698132442823000000,0
jps.apply.loaded.storage.ms,1698132382796000000,1698132442823000000,3956
workspaceModel.mutableEntityStorage.referrers.ms,1698132382796000000,1698132442823000000,0
jps.reload.project.entities.ms,1698132382796000000,1698132442823000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1698132382796000000,1698132442823000000,0
jps.artifact.entities.serializer.save.entities.ms,1698132382796000000,1698132442823000000,0
jps.global.get.library.by.name.ms,1698132382796000000,1698132442823000000,0
jps.project.serializers.load.ms,1698132382796000000,1698132442823000000,240
jps.global.handle.changed.events.ms,1698132382796000000,1698132442823000000,0
jps.module.iml.entities.serializer.save.entities.ms,1698132382796000000,1698132442823000000,0
workspaceModel.moduleBridge.update.option.ms,1698132382796000000,1698132442823000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1698132382796000000,1698132442823000000,14
jps.storage.jps.conf.reader.load.component.ms,1698132382796000000,1698132442823000000,81
jps.library.entities.serializer.load.entities.ms,1698132382796000000,1698132442823000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1698132382796000000,1698132442823000000,4313
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1698132382796000000,1698132442823000000,2
workspaceModel.moduleManagerBridge.build.module.graph.ms,1698132382796000000,1698132442823000000,45
jps.load.project.to.empty.storage.ms,1698132382796000000,1698132442823000000,300
workspaceModel.global.apply.state.to.project.builder.ms,1698132382796000000,1698132442823000000,42
workspaceModel.moduleBridgeLoader.loading.modules.ms,1698132382796000000,1698132442823000000,1160
workspaceModel.mutableEntityStorage.entities.by.source.ms,1698132382796000000,1698132442823000000,3
workspaceModel.mutableEntityStorage.add.entity.ms,1698132382796000000,1698132442823000000,103
workspaceModel.moduleBridge.facet.initialization.ms,1698132382796000000,1698132442823000000,1
